NA,dataset,par,Aa,Ad,Ca,Mea,Med,AaAa,AaAd,AaCa,AdAd,AdCa,Xa,AdXa,XaXa,XaCa,Ya,AdYa,XaYa,YaCa,Xd,AaXa,AaXd,AdXd,XaXd,XdXd,XdCa,AaYa
225,male.num.csv,vi,0.415924649,0.739525532,0.128549543,NA,0.045535089,0.064315085,0.368441553,0.67138104,0.780153786,0.096400611,0.088973862,0.055551991,0.045535089,NA,0.351271126,0.571688809,0.063673784,0.778800311,NA,0.057947854,NA,NA,NA,NA,NA,0.192875181
226,male.num.red.csv,Model Weighted Average,0.193504727,-0.092642311,0.330872495,NA,0.543385968,6.494894616,-9.323098963,-0.677863105,3.849091947,0.003566182,1.16131167,0.014965754,-0.545849674,NA,0.054628073,-0.09021197,-0.003810181,-0.003905116,NA,-0.176005906,NA,NA,NA,NA,NA,0.016103272
227,male.num.red.csv,Unconditional Standard Error,0.351888267,2.65672059,0.523967285,NA,0.774597124,2.242995815,1.336952161,1.060164339,2.145393605,0.023911712,0.825065773,0.063781496,0.776583651,NA,0.105869241,0.193645409,0.007897396,0.008087016,NA,0.477219182,NA,NA,NA,NA,NA,0.033190612
228,male.num.red.csv,vi,0.128992769,0.339313896,0.234486813,NA,0.301217199,0.861322487,0.998741588,0.230237622,0.770372661,0.023664061,0.6467942,0.053193754,0.301217199,NA,0.053561785,0.062779199,0.009220962,0.009433815,NA,0.079495672,NA,NA,NA,NA,NA,0.012827589
229,matfit.years.csv,Model Weighted Average,-0.000165931,0.051022066,-9.08E-05,NA,NA,0.1918573,-0.037371989,-0.051022066,0.218700906,0.018098965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,matfit.years.csv,Unconditional Standard Error,0.001139637,0.202595789,0.000653561,NA,NA,0.202150782,0.070473052,0.202595789,0.212572814,0.03457029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,matfit.years.csv,vi,0.067314591,0.35881509,0.067789875,NA,NA,0.530502836,0.152091673,0.35881509,0.556987187,0.149951007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,mite.num.csv,Model Weighted Average,-20,20.75544619,0,0,-0.73381333,40,0,0,17.06474668,-12.17980714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,mite.num.csv,Unconditional Standard Error,2.53E-14,14.36002989,0,0,1.252233859,6.70E-14,0,0,5.008935435,15.93279497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,mite.num.csv,vi,1,0.640982029,1.61E-76,2.29E-76,0.163830845,1,7.27E-77,7.94E-77,0.856173178,0.339013949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,nig.cro.csv,Model Weighted Average,-40.13932696,-0.690721409,18.99190258,12.02051043,2.049625108,-8.952578773,106.5889471,-0.934059088,-1.285378617,-36.25139399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,nig.cro.csv,Unconditional Standard Error,29.23832189,2.902027186,15.53633692,10.04811643,3.529077676,9.195539491,40.32916633,2.018513142,2.900814068,30.43851644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,nig.cro.csv,vi,0.744468261,0.122149998,0.652859911,0.650452061,0.239295354,0.573399952,0.982563057,0.128568109,0.129021095,0.645639269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,nig.sing.csv,Model Weighted Average,5.098934106,-4.281649343,0.077705488,-1.324983635,0.866501946,1.609276279,-1.309759744,-25.03904377,-3.323932565,-0.046022381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,nig.sing.csv,Unconditional Standard Error,6.983369548,8.618561974,0.555123436,2.844341283,2.118786221,3.775454233,4.669914463,6.124846141,7.168888617,0.979279156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,nig.sing.csv,vi,0.449992387,0.237140403,0.140437143,0.23177239,0.179022069,0.186606457,0.170993268,0.981821883,0.21413099,0.137900704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,node.years.csv,Model Weighted Average,-0.038287131,0.017054959,-0.01476378,NA,NA,0.603572405,-0.290749068,-0.052355247,0.578764347,0.031888675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,node.years.csv,Unconditional Standard Error,0.096043055,0.609412691,0.056455071,NA,NA,1.025261017,0.628399601,0.595595639,1.000451662,0.125487837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,node.years.csv,vi,0.168188331,0.221016076,0.149802015,NA,NA,0.30451659,0.208929102,0.221016076,0.301228783,0.161502569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,osa.col.csv,Model Weighted Average,20.27571201,51.89681033,1.85826143,-11.96790449,-0.2423506,16.63762273,-44.73236464,-0.125346476,-29.07914526,-3.161658037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,osa.col.csv,Unconditional Standard Error,7.001168337,50.3398064,3.215349091,3.596260871,0.578018661,17.61203563,12.26123194,0.391329467,30.59274313,5.815308755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,osa.col.csv,vi,0.870305329,0.624933135,0.216049944,0.931317595,0.089977002,0.548772963,0.946189572,0.068698378,0.579994117,0.197935022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,ovule.num.csv,Model Weighted Average,-0.31809882,9.63E-05,-0.027101725,8.73E-05,-0.007121949,-0.001208677,-0.100696157,-0.058332696,-0.029829317,0.006366694,-0.017358269,0.00837606,-0.000264574,0.082045811,NA,NA,NA,NA,0.003257645,-0.025802856,0.043987833,-0.009319544,0.000349741,0.060810528,0.022508548,NA
248,ovule.num.csv,Unconditional Standard Error,0.045652839,0.002279182,0.03315896,0.000295774,0.011022286,0.003021384,0.108725558,0.061714299,0.039605323,0.013419352,0.030577442,0.041366225,0.001323171,0.039212788,NA,NA,NA,NA,0.006875104,0.037388613,0.065757028,0.018322484,0.001383387,0.055441266,0.031200681,NA
249,ovule.num.csv,vi,0.965352257,0.03310676,0.414373914,0.016001759,0.263350656,0.037424284,0.497367015,0.504029232,0.361446678,0.089579551,0.14792825,0.171219695,0.022456733,0.886124489,NA,NA,NA,NA,0.05505622,0.296449148,0.446350799,0.104757778,0.019416859,0.55836453,0.331219427,NA
250,P.eleanorae.csv,Model Weighted Average,-1.425231332,-0.005767305,0.153672035,-0.469002973,-0.269171194,0.314566986,-1.063258487,3.180686344,0.015112782,0.005767305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,P.eleanorae.csv,Unconditional Standard Error,2.060319705,0.097728302,1.001462921,0.812524776,0.549837228,0.654844825,2.11102517,2.516025246,0.076167434,0.097728302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,P.eleanorae.csv,vi,0.315836528,0.025537082,0.254206533,0.192042111,0.073306071,0.072407146,0.090436809,0.626835731,0.021277147,0.025537082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,P.nigrita.csv,Model Weighted Average,-1.439940456,0.964379717,0,0.435228885,0,2.588454508,0,0,0,-0.964379717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,P.nigrita.csv,Unconditional Standard Error,0.004743213,0.964418243,0,0.0052702,0,0.007334788,0,0,0,0.964418243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,P.nigrita.csv,vi,0.989328637,0.485335946,0.005114801,0.967049697,0.00124945,0.984842369,0.00109372,0.007443675,0.001813844,0.485335946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,P.salicifolia.csv,Model Weighted Average,-0.538168712,-0.041310865,-0.027878068,-0.090170032,-0.002581967,0.148281086,-0.005673396,0.029137342,-0.000900264,0.041310865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,P.salicifolia.csv,Unconditional Standard Error,0.42403478,0.112867836,0.069292626,0.167569831,0.014710655,0.257872249,0.033475998,0.067996536,0.029963664,0.112867836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,P.salicifolia.csv,vi,0.654092609,0.070393327,0.11097141,0.160449983,0.038164194,0.261903537,0.031121891,0.070989252,0.03928687,0.070393327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,P.salicifoliella.csv,Model Weighted Average,-19.84709318,5.4265838,-2.470742015,-20.66954969,-0.358337483,0.584237085,-3.365555149,-0.100866899,16.24110207,-5.4265838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,P.salicifoliella.csv,Unconditional Standard Error,22.74153073,10.69615901,4.978179585,24.4075254,1.059385176,2.216171562,7.334268651,0.405513621,26.57447621,10.69615901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,P.salicifoliella.csv,vi,0.455421101,0.094093084,0.089776267,0.430580029,0.028753604,0.041264532,0.05125385,0.027788609,0.229037375,0.094093084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,P.sp.C.csv,Model Weighted Average,-0.078696324,0.874811727,-0.061737675,-0.031391965,0.006454252,-0.104522888,-1.16879085,-0.004868804,0.29483648,-0.874811727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,P.sp.C.csv,Unconditional Standard Error,0.113702292,1.102302208,0.096313351,0.058069124,0.014022316,0.200632286,1.43721153,0.032050482,0.543808394,1.102302208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,P.sp.C.csv,vi,0.310880748,0.380007814,0.25090871,0.129090673,0.018502956,0.082035267,0.399685658,0.035154065,0.116021468,0.380007814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,P.terminalis.csv,Model Weighted Average,-0.022050468,0.430032298,-0.030007925,-0.009785575,0.003009806,-0.021050754,-1.990283102,0.122927693,0.39402452,-0.430032298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,P.terminalis.csv,Unconditional Standard Error,0.042677589,0.646081922,0.052981136,0.030508588,0.008142394,0.086796293,1.094067569,0.252373751,0.594615485,0.646081922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,P.terminalis.csv,vi,0.094689651,0.275181029,0.164989158,0.081435569,0.014758253,0.07359318,0.745667745,0.17187303,0.266835217,0.275181029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,patfit.years.csv,Model Weighted Average,-0.094527047,-0.004478056,-0.000287254,NA,NA,0.050680002,0.009123594,0.003447512,0.042140771,0.088624944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,patfit.years.csv,Unconditional Standard Error,0.130494573,0.059869002,0.064450584,NA,NA,0.099490888,0.04179053,0.057772883,0.09571351,0.130280875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,patfit.years.csv,vi,0.423126676,0.156136495,0.368373029,NA,NA,0.211085564,0.137411825,0.156136495,0.184900252,0.379944223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,peak.fecund.csv,Model Weighted Average,-12.15088628,-0.914871231,-3.02306149,-11.54720931,-3.640561713,4.590269201,NA,NA,-0.373433658,-0.259319205,-6.660725065,0.146226814,2.254434989,0.914871231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,peak.fecund.csv,Unconditional Standard Error,18.05860103,2.194222656,5.762946081,15.77591449,7.100360709,8.544282701,NA,NA,1.124624043,1.232923472,11.57535606,2.138750557,4.757168882,2.194222656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,peak.fecund.csv,vi,0.30178287,0.04298448,0.133301163,0.355659581,0.120066905,0.153911332,NA,NA,0.02943093,0.037890034,0.18578642,0.026228505,0.079027027,0.04298448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,pelvic.len.csv,Model Weighted Average,0.78607975,0.544572483,0,0.030791534,0,0,-0.010014373,-0.029546722,0,-0.048777823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,pelvic.len.csv,Unconditional Standard Error,0.07361703,0.079758164,0,0.059306934,0,0,0.020502802,0.0570404,0,0.090655798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,pelvic.len.csv,vi,0.962250685,0.924648798,0.005382251,0.040012225,0.00182055,0.003969792,0.027947655,0.040542342,0.029455872,0.080099096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,per.inf.csv,Model Weighted Average,-1.687004805,7.908421363,0.123295299,0.617122507,0.959584524,14.06491948,49.18573656,-0.276142119,6.431308643,1.590459064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,per.inf.csv,Unconditional Standard Error,3.101406266,18.54834763,0.59547227,1.521732467,2.987678294,14.97652512,15.79155838,1.84510559,11.47776914,2.955329396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,per.inf.csv,vi,0.258708356,0.371190713,0.150950848,0.171607372,0.239279351,0.615786979,0.958556358,0.16858936,0.293097677,0.252503874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,per.sq.csv,Model Weighted Average,-0.515631546,97.22140177,-0.087649065,11.54674416,16.45917982,80.97097789,7.043865911,-1.791775106,-4.764083682,-0.126129606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,per.sq.csv,Unconditional Standard Error,1.650724686,46.44282582,0.346390295,4.861222443,9.591589536,30.86856996,12.63039582,3.967548783,16.78894041,0.586129563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,per.sq.csv,vi,0.109083268,0.86976343,0.085200022,0.875588403,0.795704981,0.921516447,0.227042243,0.136009982,0.251692167,0.083460342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,plantht.dj38.csv,Model Weighted Average,1.912400603,6.061864894,NA,NA,NA,-0.437065068,0,NA,0.279771367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,plantht.dj38.csv,Unconditional Standard Error,0.366725752,1.680213021,NA,NA,NA,0.777100589,0,NA,0.516083705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,plantht.dj38.csv,vi,0.96390909,0.868325536,NA,NA,NA,0.139360823,0.004388266,NA,0.091544457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,plantht.dj39.csv,Model Weighted Average,2.055867863,3.739575811,NA,NA,NA,-0.152638006,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,plantht.dj39.csv,Unconditional Standard Error,0.20336673,0.652078994,NA,NA,NA,0.292272487,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,plantht.dj39.csv,vi,0.998238907,0.943561394,NA,NA,NA,0.053529795,0.00889725,NA,0.007004486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,plantht.dr38.csv,Model Weighted Average,3.407531626,15.12308338,NA,NA,NA,2.35115287,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,plantht.dr38.csv,Unconditional Standard Error,0.346915884,2.908225784,NA,NA,NA,2.040940446,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,plantht.dr38.csv,vi,0.988604485,0.981923606,NA,NA,NA,0.580006562,0.001176724,NA,0.016763414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,plantht.jb39.csv,Model Weighted Average,3.702744738,0.042481328,NA,NA,NA,-0.438250066,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,plantht.jb39.csv,Unconditional Standard Error,0.032875225,0.079133645,NA,NA,NA,0.092194935,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,plantht.jb39.csv,vi,0.999999999,0.078572669,NA,NA,NA,0.921743415,0.007905283,NA,0.007571877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,plantht.jr39.csv,Model Weighted Average,1.147171656,2.050499488,NA,NA,NA,0.051961816,0,NA,3.199741016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,plantht.jr39.csv,Unconditional Standard Error,0.335162191,2.310037428,NA,NA,NA,0.105119389,0,NA,2.565112978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,plantht.jr39.csv,vi,0.921751763,0.443903271,NA,NA,NA,0.05337112,0.004840281,NA,0.624503505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,plantspd.dj38.csv,Model Weighted Average,7.119700144,18.53517948,NA,NA,NA,-0.387416046,1.414764561,NA,1.166362334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,plantspd.dj38.csv,Unconditional Standard Error,1.648784303,4.815866915,NA,NA,NA,0.768420819,2.523783722,NA,2.256353418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,plantspd.dj38.csv,vi,0.942913471,0.884190926,NA,NA,NA,0.049878066,0.140590801,NA,0.061567647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,plantspd.dj39.csv,Model Weighted Average,19.68513805,29.5458169,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,plantspd.dj39.csv,Unconditional Standard Error,1.373722665,2.238082824,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,plantspd.dj39.csv,vi,0.999673202,0.997243653,NA,NA,NA,0.001816322,0.031598031,NA,0.002949879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,plantspd.dr38.csv,Model Weighted Average,22.18923621,30.22614001,NA,NA,NA,0,0,NA,16.42830362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,plantspd.dr38.csv,Unconditional Standard Error,3.158550271,19.63402043,NA,NA,NA,0,0,NA,22.62882113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,plantspd.dr38.csv,vi,0.992103573,0.686772259,NA,NA,NA,0.017730259,0.007607242,NA,0.323537262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,plantspd.jb39.csv,Model Weighted Average,8.260576952,4.17135103,NA,NA,NA,-5.883447691,0,NA,4.801050779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,plantspd.jb39.csv,Unconditional Standard Error,0.460454145,6.072974492,NA,NA,NA,3.316332739,0,NA,2.778292375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,plantspd.jb39.csv,vi,0.99908066,0.290598454,NA,NA,NA,0.734113643,0.000346266,NA,0.711839815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,plantspd.jr39.csv,Model Weighted Average,7.519726408,46.07551229,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,plantspd.jr39.csv,Unconditional Standard Error,0.685084872,1.382576312,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,plantspd.jr39.csv,vi,0.999353128,0.999857704,NA,NA,NA,0.001357223,0.001374542,NA,0.001033161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,plate.num.csv,Model Weighted Average,5.902259135,1.194895033,0,0,0,-0.845125618,0,0,0.06336887,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,plate.num.csv,Unconditional Standard Error,0.013009719,0.191998074,0,0,0,0.082094807,0,0,0.11732163,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,plate.num.csv,vi,0.999999974,0.924309259,0.000324114,2.42E-05,0.000891998,0.998390401,2.23E-07,0.000913147,0.075237039,2.08E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,pm.sin.csv,Model Weighted Average,-1.964704976,9.900914044,-1.762124655,-1.637701616,25.5016851,-5.306165055,-21.72268783,5.528839107,4.69689479,-0.07985749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,pm.sin.csv,Unconditional Standard Error,3.684246677,15.51240726,2.95959273,3.010302399,8.625032408,9.385889106,25.57227752,9.933785574,8.967774809,1.279445551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,pm.sin.csv,vi,0.236043126,0.360856881,0.300706979,0.248593738,0.962227974,0.28419329,0.510923597,0.317181346,0.266199354,0.137255846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,pollen_data.csv,Model Weighted Average,-1.891205918,-0.584045182,NA,NA,NA,1.874198358,0,NA,0.166098723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,pollen_data.csv,Unconditional Standard Error,0.324334171,0.990229304,NA,NA,NA,0.872830913,0,NA,0.322327368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,pollen_data.csv,vi,0.97228069,0.171726285,NA,NA,NA,0.78834317,0.006513289,NA,0.060550493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,pollen.csv,Model Weighted Average,-3.85E-06,-0.082357135,0.004698742,NA,-0.001381375,0.078476594,-0.103642778,-0.002218782,0.047633798,0.050488803,-0.003401268,-0.122267462,0.001381375,NA,-0.000652682,-0.059060899,0.00265559,0.002420827,NA,0.200424094,NA,NA,NA,NA,NA,0.000156517
323,pollen.csv,Unconditional Standard Error,0.001971911,0.13476152,0.009077763,NA,0.02138526,0.102665934,0.133506061,0.006641743,0.079564146,0.054316623,0.007100349,0.097555587,0.02138526,NA,0.002202901,0.050782554,0.006424556,0.005411732,NA,0.144873877,NA,NA,NA,NA,NA,0.007262055
324,pollen.csv,vi,0.053651994,0.232871076,0.131387354,NA,0.183690529,0.40318249,0.406217086,0.06036848,0.255944385,0.542742937,0.094291467,0.660265765,0.183690529,NA,0.065219831,0.612924559,0.096780889,0.119878062,NA,0.716299661,NA,NA,NA,NA,NA,0.097254809
325,prop.male.csv,Model Weighted Average,0,0.176585941,0,NA,NA,-0.176585941,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,prop.male.csv,Unconditional Standard Error,0,0.181132358,0,NA,NA,0.181132358,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,prop.male.csv,vi,0.002673173,0.493697186,0.005679903,NA,NA,0.493697186,NA,NA,NA,0.004759332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,R.rigidaea.csv,Model Weighted Average,-0.007781841,0.000867687,-0.165622315,-0.003397313,0.001735738,-0.00094706,-0.964664466,-0.000215761,0,-0.000867687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,R.rigidaea.csv,Unconditional Standard Error,0.015462162,0.001903457,0.035292163,0.007767597,0.003548314,0.002042056,0.239787405,0.000500915,0,0.001903457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,R.rigidaea.csv,vi,0.056603615,0.009792119,0.902412698,0.035133644,0.015613855,0.012396381,0.903228608,0.012844103,0.007581062,0.009792119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,R.salicisbrassicoides.csv,Model Weighted Average,0.008107689,-0.00738003,0.004879843,-0.004077913,-0.034982726,0.007521059,0.048893539,-0.002260043,0.005733506,0.003901601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,R.salicisbrassicoides.csv,Unconditional Standard Error,0.018235462,0.023750901,0.013059935,0.012516421,0.059701428,0.022169927,0.089235432,0.010165138,0.020976819,0.016346485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,R.salicisbrassicoides.csv,vi,0.134078745,0.075812578,0.093807119,0.08421472,0.261715832,0.085837383,0.220606054,0.088546444,0.074235125,0.067512219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,R.sp.Ga.csv,Model Weighted Average,0.000933563,-0.000107361,0.00606764,0.000270036,-0.001224844,0.0037439,0.002164914,0.00014407,0.0160663,0.000107361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,R.sp.Ga.csv,Unconditional Standard Error,0.001854984,0.000308327,0.011555044,0.000730337,0.00245565,0.007251893,0.004193522,0.00034258,0.03098652,0.000308327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,R.sp.Ga.csv,vi,0.128614355,0.089618941,0.231155199,0.100849071,0.106841948,0.125528148,0.125293742,0.098586354,0.134082007,0.089582888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
