"","epi","class","kingdom","divergence","combo"
"643",0,"M","plant","between","Zea mays, Zea diploperennis Iltis-leaf length"
"660",0.685217819403095,"M","plant","between","Salix eriocephala, Salix sericea-herbivore density"
"662",0,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-leaf width"
"663",0.133651548010066,"M","plant","between","Zea mays, Zea diploperennis Iltis-leaf width"
"680",0.146873076175638,"M","plant","within","Datura stramonium-leaf weight"
"684",0.133737151133488,"M","plant","between","Zea mays, Zea diploperennis Iltis-number of leaves"
"701",0,"M","plant","within","Lens culinaris-number of primary branches"
"702",0,"M","plant","within","Lens culinaris-number of clusters per plant"
"705",0,"LH","plant","within","Lens culinaris-pod length"
"706",0.486162626803187,"LH","plant","within","Lens culinaris-number of pods per plant"
"707",0,"M","plant","within","Lens culinaris-number of secondary branches"
"708",0,"LH","plant","within","Lens culinaris-number of seeds per plant"
"709",0,"LH","plant","within","Lens culinaris-number of seeds per pod"
"710",1,"LH","plant","within","Lens culinaris-seed yield per plant"
"711",0.460598435721841,"LH","plant","within","Lens culinaris-seed weight"
"712",0,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-lower corolla lobe length"
"713",0,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-lower corolla lobe width"
"714",0.271987107347157,"LH","plant","between","Lycopersicon esculenium, Lycopersicon pimpinellifolium-number of locules"
"722",0.124844466984821,"M","plant","within","Zea mays-ear diameter"
"738",0,"LH","plant","within","Zea mays-days to 50% silking"
"740",0.541163543650192,"LH","plant","between","Silene latifolia, Silene diclinis-number of males"
"741",1,"LH","plant","between","Iris brevivaulis, Iris fulva-maternal fitness"
"742",0.867393211251228,"LH","plant","within","Brassica junces-days to maturity"
"745",0,"LH","plant","within","Brassica juncea-days to maturity"
"746",1,"LH","plant","within","Cucumis melo-days to anthesis"
"747",0,"M","plant","within","Cucumis melo-primary branch number"
"749",0.353968227247286,"LH","plant","within","Cucumis melo-fruit number per plant"
"751",0.6396577795578,"LH","plant","within","Cucumis melo-fruit weight per plant"
"755",0.573180030639345,"M","plant","within","Zea mays-number of mesocotyl roots"
"756",0,"M","plant","within","Oryza sativa-mesocotyl length"
"759",0.583363669693568,"M","plant","between","Salix eriocephala, Salix sericea-number of mite gals"
"760",0.537318569770005,"LH","plant","within","Cucumis sativus-number of fruits per plant"
"761",0.5,"M","plant","within","Cucumis sativus-internode length"
"762",0,"M","plant","within","Cucumis sativus-number of primary laterals"
"763",0.312356547739768,"M","plant","within","Cucumis sativus-number of nodes"
"767",1,"M","plant","within","Desmodium sandwicense-nitrogen fixation component"
"770",0.595476360343771,"M","plant","within","Zea mays-number of nodes below ear"
"771",0.844370860927152,"LH","plant","within","Abelmoschous esculentus-days to first flowering"
"777",0.555555555555556,"LH","plant","within","Abelmoschus esculentus-fruit weight"
"779",0.386782677870452,"LH","plant","within","Abelmoschous esculentus-fruit yield"
"789",0,"LH","plant","within","Abelmoschus esculentus-number of fruit"
"791",1,"M","plant","within","Abelmoschus esculentus-plant height"
"793",0.557220171012784,"LH","plant","within","Abelmoschous esculentus-number of pods per plant"
"801",0,"LH","plant","within","Abelmoschous esculentus-yield"
"803",0.168978004681385,"M","plant","within","Abelmoschous esculentus-leaf water potential"
"811",0.208240258361831,"LH","plant","within","Abelmoschus esculentus-yield"
"820",0.672856461112406,"LH","animal","within","Drosophila hibisci-ovariole number"
"821",0,"LH","plant","between","Mimulus cuprilphilus, Mimulus guttatus-ovary length"
"822",0.309913744080921,"LH","plant","between","Silene latifolia, Silene diclinis-number of ovules"
"832",0,"M","plant","within","Arachis hypogaea-Fe root concentration"
"833",0,"M","plant","within","Arachis hypogaea-Fe shoot concentration"
"835",0.852530680325785,"LH","plant","within","Arachis hypogaea-kernel weight"
"837",0,"M","plant","within","Arachis hypogaea-shoot weight"
"841",0,"M","plant","within","Arachis hypogaea-K shoot concentration"
"843",0,"LH","plant","within","Arachis hypogaea-peanut bud necrosis incidence %"
"846",0,"M","plant","within","Arachis hypogaea-oil concentration"
"848",0,"M","plant","within","Arachis hypogaea-P root concentration"
"851",0.655999601851391,"M","plant","within","Arachis hypogaea-P shoot concentration"
"853",0.5,"LH","plant","within","Arachis hypogaea-pod yield"
"855",1,"M","plant","within","Arachis hypogaea-root weight"
"856",0.174689619631406,"M","plant","within","Arachis hypogaea-shelling percent"
"863",0,"M","plant","within","Arachis hypogaea-arachidic acid"
"865",1,"M","plant","within","Arachis hypogaea-behenic acid"
"869",0.304158337596161,"M","plant","within","Arachis hypogaea-eicosenoic acid"
"871",0.333333333333333,"M","plant","within","Arachis hypogaea-fatty acid ratio"
"874",0.113241098076892,"M","plant","within","Arachis hypogaea-fatty acids"
"878",0.5,"M","plant","within","Arachis hypogaea-iodine"
"880",0.830145040134054,"M","plant","within","Arachis hypogaea-lignoceric acid"
"884",0.394228954896757,"M","plant","within","Arachis hypogaea-linoleic acid"
"886",0.567197221822077,"M","plant","within","Arachis hypogaea-long chain fatty acids"
"890",0.448538017767762,"M","plant","within","Arachis hypogaea-oil ratio"
"892",0.172982838597404,"M","plant","within","Arachis hypogaea-fatty acid concentration"
"910",0.35590931112084,"M","plant","within","Arachis hypogaea-oleic acid"
"914",0,"M","plant","within","Arachis hypogaea-palmictic acid"
"917",0,"M","plant","within","Arachis hypogaea-stearic acid"
"920",0,"LH","plant","within","Arachis hypogaea-latency period - disease"
"921",0,"M","plant","within","Arachis hypogaea-lesioned area"
"923",0,"M","plant","within","Arachis hypogaea-lesions per cm"
"925",0.33108625618168,"M","plant","within","Arachis hypogaea-lesions per leaf"
"928",0.424023399360815,"M","plant","within","Arachis hypogaea-precent defoliation"
"929",0.608528206636527,"LH","plant","within","Arachis hypogaea-pod length"
"931",0,"LH","plant","within","Arachis hypogaea-pod weight"
"933",0.5,"LH","plant","within","Arachis hypogaea-pod width"
"938",0.5,"LH","plant","within","Arachis hypogaea-seed pod ratio"
"939",0.444444444444446,"LH","plant","within","Arachis hypogaea-seed per pod"
"941",0,"LH","plant","within","Arachis hypogaea-seed weight"
"944",0.5,"LH","plant","within","Vigna unguiculata-number of peduncles per plant"
"947",0,"M","animal","within","stickleback-pelvic spine length"
"950",0.126511449700182,"LH","plant","within","Zea mays-pericarp thickness"
"958",0,"M","plant","within","Lycopersicon esculentum-pericarp firmness"
"959",0.379488683309538,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-petiole length"
"961",0.228736202369937,"M","plant","within","Aeschynomene americana-photoperiod response to flowering date at Ft. Pierce"
"963",0.415286075482567,"M","plant","within","Aeschynomene americana-photoperiod response to flowering date at Gainesville"
"966",0,"LH","plant","between","Mimulus cuprilphilus, Mimulus guttatus-pistil length"
"967",0.659174581665361,"M","plant","within","Datura stramonium-plant height"
"972",0.190904144751039,"M","plant","between","Lycopersicon esculenium, Lycopersicon pimpinellifolium-plant height"
"975",0.247963479139296,"M","plant","between","Zea mays, Zea diploperennis Iltis-plant height"
"1005",0.153130154507146,"M","plant","within","Secale cereale-plant height"
"1010",0.112794467502648,"M","plant","between","Lycopersicon esculenium, Lycopersicon pimpinellifolium-plant spread"
"1015",0.106408442052012,"M","animal","within","stickleback-plate number"
"1016",0.53579678360881,"M","plant","within","Solanum melongena-plant height"
"1023",0.16017130620985,"LH","plant","within","Vigna sesquipedalis-pod length"
"1027",0,"M","plant","within","Vigna unguiculata-pod length"
"1030",0.5,"LH","plant","within","Vigna unguiculata-number of pods per plant"
"1033",0,"LH","plant","within","Vigna sesquipedalis-number of pods per plant"
"1037",0.447367010113588,"LH","plant","within","Vigna sesquipedalis-pod weight"
"1041",0.589656158888477,"LH","plant","within","Vigna sesquipedalis-pod yield per plant"
"1045",0,"M","animal","within","Ophryotrocha puerilis-number of chaetigerous segments at sex change"
"1046",0.497741602449263,"LH","plant","within","Zea mays-number of days from seeding to pollen shedding"
"1047",1,"LH","plant","between","Silene latifolia, Silene diclinis-proportion viable pollen"
"1049",0.798569882244891,"M","plant","between","Populus angustifolia, Populus fremontii-stem fractal"
"1063",1,"LH","animal","within","Oryctolagus cuniculus domesticus-body weight day 21"
"1068",1,"LH","animal","within","Oryctolagus cuniculus domesticus-body weight day 56"
"1069",1,"LH","animal","within","Oryctolagus cuniculus domesticus-body weight day 63"
"1070",1,"LH","animal","within","Oryctolagus cuniculus domesticus-body weight day 7"
"1071",1,"LH","animal","within","Oryctolagus cuniculus domesticus-body weight day 70"
"1072",0,"LH","animal","within","Oryctolagus cuniculus domesticus-body weight day 77"
"1073",1,"LH","animal","within","Oryctolagus cuniculus domesticus-body weight day 84"
"1074",0.481353097205041,"M","animal","within","rat-24 hour estimate, locomotor activity"
"1075",0.413724676054752,"M","animal","within","rat-48 hour estimate, locomotor activity"
"1076",0.321356588547646,"M","animal","within","rat-4 hour estimate, locomotor activity"
"1077",0,"M","animal","within","rat-acrophase, locomotor activity"
"1078",0.372267821375612,"M","animal","within","rat-amplitude, locomotor activity"
"1079",1,"LH","animal","between","Drosophila madeirensis, Drosophila subobscura-age of 1st reproduction"
"1080",1,"M","plant","within","Oryza sativa-branches per panicle"
"1081",0.508990867971132,"M","plant","within","Oryza sativa-canopy temp"
"1082",0,"M","plant","within","Oryza sativa-chlorophyll content"
"1083",0.585411498976445,"M","plant","within","Oryza sativa-flag leaf area"
"1084",0,"LH","plant","within","Oryza sativa-days to 50% flowering"
"1086",0.653705640569431,"LH","plant","within","Oryza sativa-grain yield per plant"
"1087",0,"M","plant","within","Oryza sativa-grain zinc content"
"1088",0.938990436679082,"LH","plant","within","Oryza sativa-grains per panicle"
"1091",0,"LH","plant","within","Oryza sativa-days to maturity"
"1092",0,"M","plant","within","Oryza sativa-panicle length"
"1093",0.790262866344493,"LH","plant","within","Oryza sativa-panicles per plant"
"1094",0.450432940088325,"LH","plant","within","Oryza sativa-percent grains per panicle"
"1095",0.314994997282482,"M","plant","within","Oryza sativa-plant height"
"1096",1,"M","plant","within","Oryza sativa-test weight (g)"
"1097",0,"LH","plant","within","Oryza sativa-days to flowering"
"1099",0.143581564389616,"M","plant","within","Oryza sativa-fresh weight"
"1101",0.442303043070767,"LH","plant","within","Oryza sativa-grain yield"
"1102",0,"LH","plant","within","Oryza sativa-grain yield "
"1103",0.306935421575067,"LH","plant","within","Oryza sativa-harvest index"
"1105",1,"M","plant","within","Oryza sativa-length of panicle"
"1107",1,"M","plant","within","Oryza sativa-number of tillers"
"1111",0.221969072597111,"M","plant","within","Oryza sativa-leaf discoloration red-green"
"1114",0,"M","plant","within","Oryza sativa-root length"
"1115",0.299999224177301,"M","plant","within","Oryza sativa-shoot length"
"1117",0.234280998614726,"LH","plant","within","Oryza sativa-straw yield per plant"
"1119",1,"M","plant","within","Zea mays-root dry weight (gm)"
"1120",1,"M","plant","within","Desmodium sandwicense-root fresh weight (g)"
"1131",0.015625,"M","animal","within","Onchorhynchus kisutch-body length"
"1139",0,"M","animal","within","Onchorhynchus kisutch-body width"
"1148",0,"M","plant","within","Zea mays-number of secondary roots"
"1150",0.467415522426255,"LH","animal","within","Acanthoscelides obtectus-longevity, reared on bean"
"1152",0.811355792823248,"LH","animal","within","Acanthoscelides obtectus-longevity, reared on chickpea"
"1155",0.339645962177829,"LH","plant","within","Campanulastrum americanum-seeds per fruit"
"1160",0.244514106583073,"LH","plant","within","Phaseolus vulgaris-seed height"
"1161",0,"LH","plant","within","Phaseolus vulgaris-seed length"
"1162",1,"LH","plant","within","Pisum sativum-seed number"
"1165",0.214594288746737,"LH","plant","within","Phaseolus vulgaris-seed weight"
"1166",0.359700574810397,"LH","plant","within","Phaseolus vulgaris-seed width"
"1167",0.627161080607997,"M","plant","within","Secale cereale-seedling height"
"1172",1,"LH","plant","within","Vigna unguiculata-number of seeds per pod"
"1175",0.333333333333333,"LH","plant","within","Vigna sesquipedalis-seeds per pod"
"1179",0.394320068782775,"LH","plant","within","Lima bean-seed weight"
"1180",0.467000581425392,"LH","plant","within","Vigna sesquipedalis-seed weight"
"1184",1,"LH","plant","within","Campanulastrum americanum-seed weight"
"1190",0,"LH","plant","within","Vigna unguiculata-100-seed weight"
"1193",0.686273502349381,"LH","plant","between","Mimulus cuprilphilus, Mimulus guttatus-distance from stigma to anthers "
"1194",0.527052002786824,"LH","plant","within","Sesamum indicum-capsule length"
"1199",0.5,"LH","plant","within","Sesamum indicum-days to maturity"
"1204",1,"M","plant","within","Sesamum indicum-number of branches"
"1206",0,"LH","plant","within","Sesamum indicum-number of capsules"
"1212",0.5,"M","plant","within","Sesamum indicum-plant height"
"1214",0.437448337304398,"LH","plant","within","Sesamum indicum-seed weight"
"1218",0.524050694161795,"LH","plant","within","Sesamum indicum-yield"
"1222",1,"M","animal","within","chickens-eggshell color"
"1223",1,"M","plant","within","Desmodium sandwicense-shoot dry weight (mg)"
"1224",1,"M","plant","within","Desmodium sandwicense-shoot fresh weight (mg)"
"1228",0.306676568353444,"M","animal","within","Drosophila falleni-bristle size"
"1229",0,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-plant size"
"1230",0,"M","animal","within","human-skin reflectance"
"1231",0.634704475787042,"LH","animal","within","Drosophila melanogaster-BxSO fecundity"
